Title,Rating,Year Released,Length of Movie,Type,Genre,Image_Path
Hot Rod,PG-13,2007,88 min,Movie,"Comedy, Sport",https://m.media-amazon.com/images/M/MV5BNjYwNjA3OTY0Nl5BMl5BanBnXkFtZTcwNDMyNDUzMw@@._V1_SX300.jpg
I Am Legend,PG-13,2007,101 min,Movie,"Drama, Horror, Sci-Fi",https://m.media-amazon.com/images/M/MV5BMGE1OWZkZmItNmVhMC00YzAxLTgxOTctNjg3NWExM2RmOWJkXkEyXkFqcGc@._V1_SX300.jpg
Overboard,PG,1987,112 min,Movie,"Comedy, Romance",https://m.media-amazon.com/images/M/MV5BMjIzMjMxOTgzM15BMl5BanBnXkFtZTcwMTAwODM2NA@@._V1_SX300.jpg
The Other Woman,PG-13,2014,109 min,Movie,"Comedy, Romance",https://m.media-amazon.com/images/M/MV5BMTc0ODE4ODY1OF5BMl5BanBnXkFtZTgwMDA5NjkzMTE@._V1_SX300.jpg
Pirates of the Caribbean: The Curse of the Black Pearl,PG-13,2003,143 min,Movie,"Action, Adventure, Fantasy","https://m.media-amazon.com/images/M/MV5BNDhlMzEyNzItMTA5Mi00YWRhLThlNTktYTQyMTA0MDIyNDEyXkEyXkFqcGc@._V1_QL75_UX380_CR0,2,380,562_.jpg"
The Princess Bride,PG,1987,98 min,Movie,"Adventure, Comedy, Family",https://m.media-amazon.com/images/M/MV5BMjFiOTEyNGMtN2E4MC00ZjZlLTk3ZDQtNTU1ZGNiZTA1MzJlXkEyXkFqcGc@._V1_SX300.jpg
Planet of the Apes Trilogy,PG-13,2011,370 min,Movie,Action / Sci-Fi,
The Proposal,PG-13,2009,108 min,Movie,"Comedy, Drama, Romance",https://m.media-amazon.com/images/M/MV5BYWU3ZmFhYTktNzU4NS00ZTEyLTkwNTYtMWE1M2JjMTFmODVkXkEyXkFqcGc@._V1_SX300.jpg
Pushing Daisies (Seasons 1 & 2),TV-PG,2007,950 min,TV,Comedy / Drama / Fantasy,
Rio 2,G,2014,101 min,Movie,"Animation, Adventure, Comedy",https://m.media-amazon.com/images/M/MV5BMTgzMDczMDYzNl5BMl5BanBnXkFtZTgwMzk2MDIwMTE@._V1_SX300.jpg
Ready Player One,PG-13,2018,140 min,Movie,"Action, Adventure, Sci-Fi","https://m.media-amazon.com/images/M/MV5BNzVkMTgzODQtMWIwZC00NzE4LTgzZjYtMzAwM2I5OGZhNjE4XkEyXkFqcGc@._V1_QL75_UX380_CR0,0,380,562_.jpg"
Raiders of the Lost Ark,PG,1981,115 min,Movie,"Action, Adventure",https://m.media-amazon.com/images/M/MV5BOGNhMjg2ZjgtYzk4Ni00MTViLTg1MmUtYzM2MDZiYjZlMmU3XkEyXkFqcGc@._V1_SX300.jpg
Rock of Ages,PG-13,2012,123 min,Movie,"Comedy, Drama, Musical",https://m.media-amazon.com/images/M/MV5BMTg2NDQyODAzNF5BMl5BanBnXkFtZTcwMTg5MDA3Nw@@._V1_SX300.jpg
R.I.P.D.,PG-13,2013,96 min,Movie,"Action, Adventure, Comedy",https://m.media-amazon.com/images/M/MV5BMTM5OTYxNzE5N15BMl5BanBnXkFtZTcwMDU1MTQ4OQ@@._V1_SX300.jpg
The Ringer,PG-13,2005,94 min,Movie,"Comedy, Sport",https://m.media-amazon.com/images/M/MV5BNDY2YjVlNGMtZmE0Yy00ZjhkLWFhMWUtMTI1NjgzMzQ0OTJiXkEyXkFqcGc@._V1_SX300.jpg
Bad Moms,R,2016,100 min,Movie,Comedy,https://m.media-amazon.com/images/M/MV5BMjIwNzE5MTgwNl5BMl5BanBnXkFtZTgwNjM4OTA0OTE@._V1_SX300.jpg
Barbie,PG-13,2023,114 min,Movie,"Adventure, Comedy, Fantasy","https://m.media-amazon.com/images/M/MV5BYjI3NDU0ZGYtYjA2YS00Y2RlLTgwZDAtYTE2YTM5ZjE1M2JlXkEyXkFqcGc@._V1_QL75_UX380_CR0,0,380,562_.jpg"
Beauty and the Beast,G,1991,84 min,Movie,"Animation, Family, Fantasy",https://m.media-amazon.com/images/M/MV5BYTY3NDg2YzktYWFjZC00MTExLTlmZDctMGY3MWYzZTlkYTNiXkEyXkFqcGc@._V1_SX300.jpg
Big,PG,1988,104 min,Movie,"Comedy, Drama, Fantasy",https://m.media-amazon.com/images/M/MV5BNzE3ZTc2ZDgtMzQ4MS00NjEyLWJkMDYtZmMzZmY5ODJhMDdmXkEyXkFqcGc@._V1_SX300.jpg
Big Business,PG,1988,97 min,Movie,Comedy,https://m.media-amazon.com/images/M/MV5BMDYzZDkyYTItN2RiMS00MDY2LTk4NGEtZDIxNmQ2NmY4MzMyXkEyXkFqcGc@._V1_SX300.jpg
Big Hero 6,PG,2014,102 min,Movie,"Animation, Action, Adventure",https://m.media-amazon.com/images/M/MV5BYjQ3YzUyOGQtNjdlYS00YmRhLWIyOWYtMGQ3YjkwMjJiYzRjXkEyXkFqcGc@._V1_SX300.jpg
Black Panther,PG-13,2018,134 min,Movie,"Action, Adventure, Sci-Fi","https://m.media-amazon.com/images/M/MV5BMTg1MTY2MjYzNV5BMl5BanBnXkFtZTgwMTc4NTMwNDI@._V1_QL75_UX380_CR0,0,380,562_.jpg"
Battle: Los Angeles / Lockout (Double Feature),PG-13 / R,2011,211 min,Movie,Action / Sci-Fi,
Bubble Boy,PG-13,2001,84 min,Movie,"Adventure, Comedy, Romance",https://m.media-amazon.com/images/M/MV5BZmI0MjYyZTktNDI1Zi00ZGVmLWE2MWMtYmIwNWY3NjcyY2E4XkEyXkFqcGc@._V1_SX300.jpg
The Bounty Hunter,PG-13,2010,110 min,Movie,"Action, Comedy, Romance",https://m.media-amazon.com/images/M/MV5BMTUwNjY4MjY0MV5BMl5BanBnXkFtZTcwNTA2OTYwMw@@._V1_SX300.jpg
What Happens in Vegas / In Her Shoes / There's Something About Mary (3-Movie),PG-13 / R,1998,348 min,Movie,Comedy / Romance,
Rodgers & Hammerstein's Cinderella,N/A,2005,140 min,Movie,"Documentary, Music",https://m.media-amazon.com/images/M/MV5BMTU1MzYwMjU5NV5BMl5BanBnXkFtZTcwNDM1MDIzMQ@@._V1_SX300.jpg
"Crazy, Stupid, Love / Dinner for Schmucks (Double Feature)",PG-13,2010,232 min,Movie,Comedy / Romance,
"Crazy, Stupid, Love / Horrible Bosses (Double Feature)",PG-13 / R,2011,216 min,Movie,Comedy / Romance,
Captain America: The Winter Soldier,PG-13,2014,136 min,Movie,"Action, Adventure, Sci-Fi","https://m.media-amazon.com/images/M/MV5BNWY1NjFmNDItZDhmOC00NjI1LWE0ZDItMTM0MjBjZThiOTQ2XkEyXkFqcGc@._V1_QL75_UX380_CR0,0,380,562_.jpg"
Captain Marvel,PG-13,2019,123 min,Movie,"Action, Adventure, Sci-Fi","https://m.media-amazon.com/images/M/MV5BZDI1NGU2ODAtNzBiNy00MWY5LWIyMGEtZjUxZjUwZmZiNjBlXkEyXkFqcGc@._V1_QL75_UX380_CR0,0,380,562_.jpg"
Casino Royale,PG-13,2006,144 min,Movie,"Action, Adventure, Thriller",https://m.media-amazon.com/images/M/MV5BMWQ1ZDM4NDktMWY0NC00MjcxLWJlMDMtNmE2MGVhYzRjMWQ0XkEyXkFqcGc@._V1_SX300.jpg
Central Intelligence,PG-13,2016,107 min,Movie,"Action, Comedy, Crime","https://m.media-amazon.com/images/M/MV5BMjA2NzEzNjIwNl5BMl5BanBnXkFtZTgwNzgwMTEzNzE@._V1_QL75_UX380_CR0,0,380,562_.jpg"
CHiPs,R,2017,100 min,Movie,"Action, Comedy, Crime",https://m.media-amazon.com/images/M/MV5BZjFjYmUwMGYtYWNkMS00ZTYwLWFjMjItNmNlYmJjZWVkODVhXkEyXkFqcGc@._V1_SX300.jpg
Cinderella,PG,2015,105 min,Movie,"Adventure, Drama, Family",https://m.media-amazon.com/images/M/MV5BMjMxODYyODEzN15BMl5BanBnXkFtZTgwMDk4OTU0MzE@._V1_SX300.jpg
The Dark Knight Trilogy,N/A,2013,77 min,Movie,Documentary,https://m.media-amazon.com/images/M/MV5BYTFiMmNjNzgtMzA3NC00ZWI5LWIxMTUtYTNjZDI1YTYyZmJhXkEyXkFqcGdeQXVyNTU4NTE5MDQ@._V1_SX300.jpg
Doctor Strange in the Multiverse of Madness,PG-13,2022,126 min,Movie,"Action, Adventure, Fantasy","https://m.media-amazon.com/images/M/MV5BN2YxZGRjMzYtZjE1ZC00MDI0LThjZmQtZTZmMzVmMmQ2NzBmXkEyXkFqcGc@._V1_QL75_UX380_CR0,0,380,562_.jpg"
Divergent,PG-13,2014,139 min,Movie,"Action, Adventure, Drama",https://m.media-amazon.com/images/M/MV5BMTYxMzYwODE4OV5BMl5BanBnXkFtZTgwNDE5MzE2MDE@._V1_SX300.jpg
Despicable Me 2 (+ 3 Mini-Movies),PG,2013,98 min,Movie,Animation / Comedy / Family,
Dumb and Dumber / The Mask (Double Feature),PG-13,1994,208 min,Movie,Comedy,
Inception,PG-13,2010,148 min,Movie,"Action, Adventure, Sci-Fi","https://m.media-amazon.com/images/M/MV5BMjAxMzY3NjcxNF5BMl5BanBnXkFtZTcwNTI5OTM0Mw@@._V1_QL75_UX380_CR0,0,380,562_.jpg"
"I, Robot / Independence Day / Prometheus / The Abyss (4-Film)",PG-13 / R,1989,502 min,Movie,Action / Sci-Fi,
In Time,PG-13,2011,109 min,Movie,"Action, Sci-Fi, Thriller",https://m.media-amazon.com/images/M/MV5BMjA3NzI1ODc1MV5BMl5BanBnXkFtZTcwMzI5NjQwNg@@._V1_SX300.jpg
Interstellar,PG-13,2014,169 min,Movie,"Adventure, Drama, Sci-Fi","https://m.media-amazon.com/images/M/MV5BYzdjMDAxZGItMjI2My00ODA1LTlkNzItOWFjMDU5ZDJlYWY3XkEyXkFqcGc@._V1_QL75_UX380_CR0,0,380,562_.jpg"
The Intern,PG-13,2015,121 min,Movie,"Comedy, Drama",https://m.media-amazon.com/images/M/MV5BMTUyNjE5NjI5OF5BMl5BanBnXkFtZTgwNzYzMzU3NjE@._V1_SX300.jpg
The Iron Giant (Signature Edition),PG,1999,86 min,Movie,Animation / Action / Adventure,
Isn't It Romantic,PG-13,2019,89 min,Movie,"Comedy, Fantasy, Musical",https://m.media-amazon.com/images/M/MV5BNTk4MDE1ZmItNDVlOC00NTI4LThhNWMtNzUwOGFlNzM0OWNiXkEyXkFqcGc@._V1_SX300.jpg
John Wick,R,2014,101 min,Movie,"Action, Crime, Thriller",https://m.media-amazon.com/images/M/MV5BMTU2NjA1ODgzMF5BMl5BanBnXkFtZTgwMTM2MTI4MjE@._V1_SX300.jpg
John Wick: Chapter 2,R,2017,122 min,Movie,"Action, Crime, Thriller",https://m.media-amazon.com/images/M/MV5BMjE2NDkxNTY2M15BMl5BanBnXkFtZTgwMDc2NzE0MTI@._V1_SX300.jpg
John Wick: Chapter 3 - Parabellum,R,2019,130 min,Movie,"Action, Crime, Drama",https://m.media-amazon.com/images/M/MV5BYjdlNWFlZjEtM2U0NS00ZWU5LTk1M2EtZmQxNWFiZjk0MGM5XkEyXkFqcGc@._V1_SX300.jpg
Joker,R,2019,122 min,Movie,"Crime, Drama, Thriller","https://m.media-amazon.com/images/M/MV5BNzY3OWQ5NDktNWQ2OC00ZjdlLThkMmItMDhhNDk3NTFiZGU4XkEyXkFqcGc@._V1_QL75_UX380_CR0,0,380,562_.jpg"
Jurassic Park,PG-13,1993,127 min,Movie,"Action, Adventure, Sci-Fi",https://m.media-amazon.com/images/M/MV5BMjM2MDgxMDg0Nl5BMl5BanBnXkFtZTgwNTM2OTM5NDE@._V1_SX300.jpg
RV,PG,2006,99 min,Movie,"Adventure, Comedy, Family",https://m.media-amazon.com/images/M/MV5BNDgxNDE2NDU3MV5BMl5BanBnXkFtZTcwMzA2ODQzMQ@@._V1_SX300.jpg
Jumanji / Jumanji: Welcome to the Jungle (Double Feature),PG / PG-13,1995,223 min,Movie,Action / Adventure / Comedy,
Just Go With It,PG-13,2011,117 min,Movie,"Comedy, Romance","https://m.media-amazon.com/images/M/MV5BMTM3MzM3NDE5MV5BMl5BanBnXkFtZTcwNDE5MTUxNA@@._V1_QL75_UX380_CR0,0,380,562_.jpg"
Knowing / Push (Double Feature),PG-13,2009,233 min,Movie,Action / Sci-Fi / Thriller,
Knives Out,PG-13,2019,130 min,Movie,"Comedy, Crime, Drama","https://m.media-amazon.com/images/M/MV5BZDU5ZTRkYmItZjg0Mi00ZTQwLThjMWItNWM3MTMxMzVjZmVjXkEyXkFqcGc@._V1_QL75_UX380_CR0,0,380,562_.jpg"
The King's Speech,R,2010,118 min,Movie,"Biography, Drama, History","https://m.media-amazon.com/images/M/MV5BMzU5MjEwMTg2Nl5BMl5BanBnXkFtZTcwNzM3MTYxNA@@._V1_QL75_UY562_CR2,0,380,562_.jpg"
Knight and Day,PG-13,2010,109 min,Movie,"Action, Adventure, Comedy",https://m.media-amazon.com/images/M/MV5BMTM0Mzg0MzI3Ml5BMl5BanBnXkFtZTcwNjIyNzk1Mw@@._V1_SX300.jpg
The Little Mermaid (Anniversary Edition),G,1989,83 min,Movie,Animation / Family / Fantasy,
Lightyear,PG,2022,105 min,Movie,"Animation, Action, Adventure",https://m.media-amazon.com/images/M/MV5BZGI3ZjUyM2ItNmFjYy00NGE3LTg2OTYtMTI2MDk0MjIxNDA1XkEyXkFqcGc@._V1_SX300.jpg
Letters to Juliet,PG,2010,105 min,Movie,"Adventure, Comedy, Drama",https://m.media-amazon.com/images/M/MV5BMjg0OTU0NDYwNF5BMl5BanBnXkFtZTcwNzUwNTMyMw@@._V1_SX300.jpg
The Laugh Out Loud 6-Movie Collection,PG-13 / R,2000,Varies,Movie,Comedy,
The Laugh Out Loud 3-Movie Collection,PG-13 / R,2000,Varies,Movie,Comedy,
Les Misérables,PG-13,2012,158 min,Movie,"Drama, Musical, Romance",https://m.media-amazon.com/images/M/MV5BY2Q1YjIxZTAtZTU0YS00ZmE5LWEwODEtY2IyYWM2ZTJlOWE1XkEyXkFqcGc@._V1_SX300.jpg
The Longest Yard (Double Feature),R / PG-13,1974,234 min,Movie,Comedy / Crime / Sport,
Scooby-Doo! Monster Movies Collection,TV-G / PG,1988,Varies,Movie,Animation / Comedy / Family,
Scooby-Doo! Double Feature,TV-G / PG,1998,150 min,Movie,Animation / Comedy / Family,
Best of Warner Bros. 50 Cartoon Collection: Scooby-Doo!,TV-G,1969,550 min,TV,Animation / Comedy / Family,
Scooby-Doo! Holiday Collection,TV-G,2000,120 min,Movie,Animation / Comedy / Family,
Spider-Man 3,PG-13,2007,139 min,Movie,"Action, Adventure, Sci-Fi",https://m.media-amazon.com/images/M/MV5BODE2NzNhMDctYjUzMC00Y2M5LWI2Y2EtODJkZTFjN2Y5ODlmXkEyXkFqcGc@._V1_SX300.jpg
Spider-Man: No Way Home,PG-13,2021,148 min,Movie,"Action, Adventure, Fantasy","https://m.media-amazon.com/images/M/MV5BMmFiZGZjMmEtMTA0Ni00MzA2LTljMTYtZGI2MGJmZWYzZTQ2XkEyXkFqcGc@._V1_QL75_UX380_CR0,4,380,562_.jpg"
Spider-Man: Far From Home,PG-13,2019,129 min,Movie,"Action, Adventure, Comedy","https://m.media-amazon.com/images/M/MV5BMzNhNTE0NWQtN2E1Ny00NjcwLTg1YTctMGY1NmMwODJmY2NmXkEyXkFqcGc@._V1_QL75_UX380_CR0,1,380,562_.jpg"
Spider-Man,PG-13,2002,121 min,Movie,"Action, Adventure, Sci-Fi",https://m.media-amazon.com/images/M/MV5BZWM0OWVmNTEtNWVkOS00MzgyLTkyMzgtMmE2ZTZiNjY4MmFiXkEyXkFqcGc@._V1_SX300.jpg
The Amazing Spider-Man,PG-13,2012,136 min,Movie,"Action, Sci-Fi","https://m.media-amazon.com/images/M/MV5BMjMyOTM4MDMxNV5BMl5BanBnXkFtZTcwNjIyNzExOA@@._V1_QL75_UX380_CR0,1,380,562_.jpg"
The Amazing Spider-Man 2,PG-13,2014,142 min,Movie,"Action, Adventure, Sci-Fi","https://m.media-amazon.com/images/M/MV5BOTA5NDYxNTg0OV5BMl5BanBnXkFtZTgwODE5NzU1MTE@._V1_QL75_UX380_CR0,0,380,562_.jpg"
School of Rock,PG-13,2003,109 min,Movie,"Comedy, Music",https://m.media-amazon.com/images/M/MV5BOTg2NDU4Mjg2NV5BMl5BanBnXkFtZTgwNjQ0MDIyMDI@._V1_SX300.jpg
Space Jam / Super Troopers (Double Feature),PG / R,1996,188 min,Movie,Comedy,
Stuck on You,PG-13,2003,118 min,Movie,Comedy,https://m.media-amazon.com/images/M/MV5BMTYwODE1MTc3NF5BMl5BanBnXkFtZTcwMjQxMzQyMQ@@._V1_SX300.jpg
Spy / The Heat (Double Feature),R,2013,236 min,Movie,Action / Comedy,
The Spy Who Dumped Me,R,2018,117 min,Movie,"Action, Adventure, Comedy",https://m.media-amazon.com/images/M/MV5BNDY1MTA0NjgyN15BMl5BanBnXkFtZTgwMTEzNDQ4NTM@._V1_SX300.jpg
Sherlock Holmes,PG-13,2009,128 min,Movie,"Action, Adventure, Mystery",https://m.media-amazon.com/images/M/MV5BMTg0NjEwNjUxM15BMl5BanBnXkFtZTcwMzk0MjQ5Mg@@._V1_SX300.jpg
Sherlock Holmes: A Game of Shadows,PG-13,2011,129 min,Movie,"Action, Adventure, Mystery",https://m.media-amazon.com/images/M/MV5BMTQwMzQ5Njk1MF5BMl5BanBnXkFtZTcwNjIxNzIxNw@@._V1_SX300.jpg
She's the Man,PG-13,2006,105 min,Movie,"Comedy, Romance, Sport",https://m.media-amazon.com/images/M/MV5BYjVkM2VmZDYtM2E2OS00NTIwLThlZjctM2NkM2QwYmIxMTFiXkEyXkFqcGc@._V1_SX300.jpg
Shallow Hal,PG-13,2001,114 min,Movie,"Comedy, Drama, Fantasy",https://m.media-amazon.com/images/M/MV5BMTcwMzY2NDE0NF5BMl5BanBnXkFtZTYwNjg2Njc2._V1_SX300.jpg
Terror Times Ten: 10-Movie Horror Collection,R / Unrated,1980,Varies,Movie,Horror,
Top Gun,PG,1986,110 min,Movie,"Action, Drama","https://m.media-amazon.com/images/M/MV5BZmVjNzQ3MjYtYTZiNC00Y2YzLWExZTEtMTM2ZDllNDI0MzgyXkEyXkFqcGc@._V1_QL75_UX380_CR0,12,380,562_.jpg"
Top Gun: Maverick,PG-13,2022,130 min,Movie,"Action, Drama","https://m.media-amazon.com/images/M/MV5BMDBkZDNjMWEtOTdmMi00NmExLTg5MmMtNTFlYTJlNWY5YTdmXkEyXkFqcGc@._V1_QL75_UX380_CR0,0,380,562_.jpg"
This Means War,PG-13,2012,103 min,Movie,"Action, Comedy, Romance",https://m.media-amazon.com/images/M/MV5BMTYyOTQ4MDE2MV5BMl5BanBnXkFtZTcwOTE0MTgwNw@@._V1_SX300.jpg
Draft Day,PG-13,2014,110 min,Movie,"Drama, Sport",https://m.media-amazon.com/images/M/MV5BMjAyOTMxMjA3Nl5BMl5BanBnXkFtZTgwMTMwNjQ4MDE@._V1_SX300.jpg
Date Night,PG-13,2010,88 min,Movie,"Comedy, Crime, Romance",https://m.media-amazon.com/images/M/MV5BYjVjMzIyZTgtMjQwZS00ODA1LTllY2YtZDhkNjA1OTQ3NjliXkEyXkFqcGc@._V1_SX300.jpg
The DUFF,PG-13,2015,101 min,Movie,"Comedy, Romance",https://m.media-amazon.com/images/M/MV5BMTc3OTg3MDUwN15BMl5BanBnXkFtZTgwMTAwMTkxNDE@._V1_SX300.jpg
Daddy's Home 2,PG-13,2017,100 min,Movie,Comedy,https://m.media-amazon.com/images/M/MV5BNDA4Nzc1OTg2OV5BMl5BanBnXkFtZTgwODE3ODgwNDI@._V1_SX300.jpg
Dark Shadows,PG-13,2012,113 min,Movie,"Comedy, Fantasy, Horror",https://m.media-amazon.com/images/M/MV5BMjNiYWMxZjctMzEyZS00NDZmLTgxYmYtM2NmOGI0MmY3ZTJiXkEyXkFqcGc@._V1_SX300.jpg
Elf,PG,2003,97 min,Movie,"Adventure, Comedy, Family",https://m.media-amazon.com/images/M/MV5BNDQ0ZWE2NzgtNGNhMC00MDIwLWI1MjUtYjYxZGRiM2UyYTQzXkEyXkFqcGc@._V1_SX300.jpg
The Road to El Dorado,PG,2000,89 min,Movie,"Animation, Adventure, Comedy",https://m.media-amazon.com/images/M/MV5BMjIyNDBmYTEtYjM3MS00NDhkLWFhNjYtZGYxYzA2OGUyZjQ2XkEyXkFqcGc@._V1_SX300.jpg
Emma.,PG,2020,124 min,Movie,"Comedy, Drama, Romance",https://m.media-amazon.com/images/M/MV5BZDdkZjg3YWYtMjMyNS00NmM0LTk4NWItMzA0MWYxN2U0MWY5XkEyXkFqcGc@._V1_SX300.jpg
Encanto,PG,2021,102 min,Movie,"Animation, Comedy, Family","https://m.media-amazon.com/images/M/MV5BNGEyNzk2M2MtNjBhZS00MzYwLWI0Y2YtYjc5ZWE2MjM0YWE5XkEyXkFqcGc@._V1_QL75_UX380_CR0,0,380,562_.jpg"
Ender's Game,PG-13,2013,114 min,Movie,"Action, Adventure, Sci-Fi",https://m.media-amazon.com/images/M/MV5BMjAzMzI5OTgzMl5BMl5BanBnXkFtZTgwMTU5MTAwMDE@._V1_SX300.jpg
Ferris Bueller's Day Off,PG-13,1986,103 min,Movie,Comedy,https://m.media-amazon.com/images/M/MV5BZWYwMjUxNjMtMzE0MC00NDM3LWIxMmQtYmEyNWVjNjdlZGZjXkEyXkFqcGc@._V1_SX300.jpg
Field of Dreams,PG,1989,107 min,Movie,"Drama, Family, Fantasy",https://m.media-amazon.com/images/M/MV5BZTEwMGYzNDktOWEyMi00NTJjLWE5MGQtNmNlNDkxOTYyZDA5XkEyXkFqcGc@._V1_SX300.jpg
Live Die Repeat: Edge of Tomorrow,PG-13,2014,113 min,Movie,Action / Sci-Fi,
